name,artist,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,rating
Spirit of Lightning,Wolves in the Throne Room,22,0.004370000000000001,0.26,384387,0.722,0.892,6,0.112,-7.326,0,0.0361,98.164,0.156,1
Reach Out,Sufjan Stevens,49,0.928,0.5710000000000001,223345,0.311,1.4700000000000002e-05,0,0.11,-14.301,1,0.040600000000000004,82.911,0.327,1
Polaris,Damon Albarn,28,0.0584,0.511,284933,0.739,0.0614,7,0.217,-8.485,1,0.029500000000000002,124.013,0.099,0
Rae Street,Courtney Barnett,49,0.00413,0.559,271207,0.741,5.97e-05,0,0.0915,-7.272,1,0.0304,97.011,0.509,0
NDA,Billie Eilish,78,0.341,0.765,195777,0.373,0.525,8,0.112,-9.921,1,0.0713,85.016,0.554,0
Islands in the Stream,Alex Cameron,32,0.28500000000000003,0.836,269319,0.437,3.54e-06,0,0.101,-6.474,1,0.0302,102.559,0.184,0
The Gnashing,Deafheaven,37,0.0026300000000000004,0.36,334227,0.933,0.849,7,0.11800000000000001,-5.2620000000000005,0,0.0794,140.009,0.039400000000000004,0
Gloria,Angel Olsen,37,0.030500000000000003,0.378,277587,0.612,0.0777,5,0.193,-8.198,1,0.0328,93.912,0.23500000000000001,0
The Jackie,Bas,57,0.33,0.784,204434,0.47300000000000003,0.0,8,0.278,-6.139,1,0.0523,128.014,0.635,-1
Motley Crew,Post Malone,79,0.09040000000000001,0.797,184213,0.631,3.7099999999999996e-06,3,0.0998,-3.818,0,0.0786,129.915,0.28800000000000003,-1
Stay,The Kid LAROI,91,0.0383,0.591,141806,0.764,0.0,1,0.10300000000000001,-5.484,1,0.0483,169.928,0.47800000000000004,-1
Clash,Dave,74,0.313,0.871,251733,0.519,8.14e-06,2,0.0869,-6.549,1,0.258,140.013,0.532,-1
Get Up,Logic,52,0.267,0.6920000000000001,213335,0.662,0.021400000000000002,0,0.112,-7.694,0,0.033,153.085,0.722,-1
Renegade,Big Red Machine,65,0.44,0.53,254467,0.712,0.0233,0,0.0931,-8.135,1,0.0461,167.964,0.577,1
I Believed It,dvsn,54,0.303,0.524,246610,0.6990000000000001,0.0,1,0.769,-5.559,0,0.046200000000000005,145.191,0.7030000000000001,1
Vaccine,Logic,57,0.043000000000000003,0.785,121559,0.612,0.0,5,0.108,-4.068,1,0.0521,149.922,0.583,1
We Cannot Resist,Lump,34,0.231,0.6950000000000001,285760,0.453,0.0012200000000000002,1,0.113,-10.626,1,0.09230000000000001,145.999,0.256,1
Chaeri,Magdalena Bay,51,0.0344,0.675,257130,0.555,0.004710000000000001,8,0.11900000000000001,-9.208,1,0.0415,121.034,0.147,1
So Simpatico,Villagers,36,0.17400000000000002,0.375,185880,0.636,1.9600000000000002e-05,7,0.23600000000000002,-5.973,0,0.0273,148.101,0.493,1
Starlight,Yola,54,0.212,0.623,242640,0.546,8.2e-05,11,0.24,-6.436,0,0.025400000000000002,94.204,0.593,1
White Sugar,Black Dice,25,0.008280000000000001,0.6980000000000001,304187,0.874,0.253,11,0.541,-7.022,0,0.14100000000000001,93.421,0.419,0
Magic,Rico Nasty,50,0.522,0.758,143907,0.665,0.000257,7,0.0683,-5.964,0,0.132,97.883,0.7020000000000001,0
PradadaBang,IDK,49,0.0329,0.85,145897,0.615,0.0,9,0.429,-6.6,0,0.271,120.053,0.546,0
Wasting Time,Brent Faiyaz,68,0.0669,0.443,301304,0.72,0.0,7,0.09090000000000001,-3.743,0,0.0733,89.378,0.374,0
Wrecked,Imagine Dragons,72,0.149,0.625,244005,0.562,1.67e-05,0,0.109,-5.828,0,0.028900000000000002,93.998,0.229,-1
Love Music,Lil Yachty,49,0.753,0.714,177960,0.707,0.002,7,0.109,-5.12,1,0.10200000000000001,160.18,0.577,-1
Fly Pelican,Fatboi Sharif,21,0.299,0.299,147692,0.621,0.0,5,0.156,-7.957,1,0.0454,82.976,0.393,1
Tragic,Jazmine Sullivan,53,0.219,0.645,205667,0.553,0.0,4,0.198,-4.437,0,0.0524,139.031,0.45,1
Days Like These,Low,40,0.682,0.20400000000000001,320513,0.216,0.0007949999999999999,4,0.0731,-6.256,0,0.031,60.445,0.121,1
Kelly's Meat Emporium,Carcass,32,1.22e-05,0.326,203853,0.9570000000000001,0.00068,1,0.67,-6.412,1,0.17,102.946,0.404,1
Rollin Stone,Little Simz,49,0.155,0.6990000000000001,219400,0.316,0.0,0,0.105,-10.925,1,0.428,130.759,0.595,1
G.A.F.F.,Tropical Fuck Storm,24,0.683,0.628,317373,0.801,2e-06,6,0.0884,-5.456,1,0.321,86.838,0.625,0
Weekend Run,Unknown Mortal Orchestra,47,0.28200000000000003,0.806,289133,0.707,0.113,9,0.126,-4.578,1,0.0335,124.077,0.842,0
Bad Habits,Ed Sheeran,91,0.0451,0.807,230747,0.893,2.7900000000000004e-05,11,0.366,-3.745,0,0.0347,126.011,0.537,-1
BYE,Jaden,58,0.308,0.635,296048,0.51,0.012700000000000001,0,0.162,-6.348,1,0.0344,119.986,0.334,-1
Life Sucks,Lil Xan,45,0.423,0.8160000000000001,147000,0.649,3.46e-05,0,0.108,-8.75,1,0.0317,120.042,0.663,-1
Red Light Green Light,DaBaby,74,0.129,0.933,159083,0.656,0.0,2,0.161,-5.85,1,0.322,119.987,0.934,-1
Holiday,KSI,68,0.152,0.356,193733,0.684,0.0,8,0.101,-7.347,1,0.0878,87.188,0.34700000000000003,-1
Headshots (4r Da Locals),Isaiah Rashad,66,0.0308,0.894,193209,0.615,0.009210000000000001,3,0.309,-6.269,1,0.0826,120.0,0.661,-1
Lipstick,Willow,51,0.0013100000000000002,0.382,191935,0.793,0.000332,2,0.10200000000000001,-6.091,0,0.0584,89.709,0.221,-1
Hug from a Dinosaur,TORRES,30,0.0021100000000000003,0.47100000000000003,198003,0.81,0.0,2,0.122,-5.842,1,0.0313,92.496,0.6910000000000001,1
